Conditioning,Cue,Pre,Post,Diff,Pdiff
Experienced,Tiger trout,14,1,-13,-0.93
Experienced,Tiger trout,13,1,-12,-0.92
Experienced,Tiger trout,20,2,-1,-0.9
Experienced,Tiger trout,9,1,-8,-0.89
Experienced,Tiger trout,28,5,-23,-0.82
Experienced,Tiger trout,11,2,-9,-0.82
Experienced,Tiger trout,16,3,-13,-0.81
Experienced,Tiger trout,14,3,-11,-0.79
Experienced,Tiger trout,31,8,-23,-0.74
Experienced,Tiger trout,22,6,-16,-0.73
Experienced,Tiger trout,31,9,-22,-0.71
Experienced,Tiger trout,19,6,-13,-0.68
Experienced,Tiger trout,17,6,-11,-0.65
Experienced,Tiger trout,18,7,-11,-0.61
Experienced,Tiger trout,27,11,-16,-0.59
Experienced,Tiger trout,38,16,-22,-0.58
Experienced,Tiger trout,25,14,-11,-0.44
Experienced,Tiger trout,16,9,-7,-0.44
Experienced,Tiger trout,14,9,-5,-0.36
Experienced,Tiger trout,24,16,-8,-0.33
Naive,Tiger trout,22,15,-7,-0.32
Experienced,Tiger trout,16,11,-5,-0.31
Experienced,Tiger trout,11,8,-3,-0.27
Naive,Tiger trout,30,22,-8,-0.27
Experienced,Tiger trout,12,9,-3,-0.25
Naive,Tiger trout,25,19,-6,-0.24
Experienced,Tiger trout,13,10,-3,-0.23
Experienced,Tiger trout,24,19,-5,-0.21
Experienced,Tiger trout,16,13,-3,-0.19
Experienced,Tiger trout,27,22,-5,-0.19
Experienced,Tiger trout,23,19,-4,-0.17
Naive,Tiger trout,18,15,-3,-0.17
Experienced,Tiger trout,12,10,-2,-0.17
Naive,Tiger trout,29,27,-2,-0.07
Naive,Tiger trout,9,9,0,0
Naive,Tiger trout,12,12,0,0
Experienced,Tiger trout,7,7,0,0
Naive,Tiger trout,32,33,1,0.03
Naive,Tiger trout,17,19,2,0.12
Naive,Tiger trout,13,15,2,0.15
Naive,Tiger trout,13,16,3,0.23
Naive,Tiger trout,12,15,3,0.25
Naive,Tiger trout,16,20,4,0.25
Naive,Tiger trout,7,12,5,0.71
Experienced,Brown trout,19,0,-19,-1
Experienced,Brown trout,8,1,-7,-0.88
Experienced,Brown trout,14,2,-12,-0.86
Experienced,Brown trout,17,3,-14,-0.82
Experienced,Brown trout,21,4,-17,-0.81
Experienced,Brown trout,24,5,-19,-0.79
Experienced,Brown trout,19,4,-15,-0.79
Experienced,Brown trout,24,6,-18,-0.75
Experienced,Brown trout,26,7,-19,-0.73
Experienced,Brown trout,29,8,-21,-0.72
Experienced,Brown trout,41,13,-28,-0.68
Naive,Brown trout,9,3,-6,-0.67
Experienced,Brown trout,6,2,-4,-0.67
Experienced,Brown trout,24,8,-16,-0.67
Experienced,Brown trout,9,3,-6,-0.67
Experienced,Brown trout,6,2,-4,-0.67
Experienced,Brown trout,47,16,-31,-0.66
Experienced,Brown trout,20,7,-13,-0.65
Experienced,Brown trout,36,13,-23,-0.64
Experienced,Brown trout,22,9,-13,-0.59
Experienced,Brown trout,24,10,-14,-0.58
Experienced,Brown trout,30,13,-17,-0.57
Experienced,Brown trout,15,7,-8,-0.53
Experienced,Brown trout,17,8,-9,-0.53
Experienced,Brown trout,35,17,-18,-0.51
Experienced,Brown trout,20,19,-1,-0.5
Experienced,Brown trout,6,3,-3,-0.5
Experienced,Brown trout,30,19,-11,-0.37
Naive,Brown trout,43,30,-13,-0.3
Experienced,Brown trout,11,8,-3,-0.27
Naive,Brown trout,25,19,-6,-0.24
Experienced,Brown trout,21,16,-5,-0.24
Experienced,Brown trout,18,14,-4,-0.22
Naive,Brown trout,22,18,-4,-0.18
Naive,Brown trout,7,6,-1,-0.14
Naive,Brown trout,18,16,-2,-0.11
Naive,Brown trout,23,23,0,0
Naive,Brown trout,30,32,2,0.07
