Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2013,Montana,Beaverhead County,922,"9,246",0,0,Rural,Rural,,
2013,Montana,Big Horn County,888,"12,865",0,0,Rural,Urban,,
2013,Montana,Blaine County,780,"6,491",0,0,Rural,Rural,,
2013,Montana,Broadwater County,844,"5,612",0,0,Rural,Rural,,
2013,Montana,Carbon County,1002,"10,078",0,0,Rural,Rural,,
2013,Montana,Carter County,879,"1,160",0,0,Rural,Rural,,
2013,Montana,Cascade County,959,"81,327",0,0,Urban,Urban,,
2013,Montana,Chouteau County,922,"5,813",0,0,Rural,Rural,,
2013,Montana,Custer County,913,"11,699",0,0,Rural,Rural,,
2013,Montana,Daniels County,855,"1,751",0,0,Rural,Rural,,
2013,Montana,Dawson County,899,"8,966",0,0,Rural,Rural,,
2013,Montana,Deer Lodge County,922,"9,298",0,0,Rural,Rural,,
2013,Montana,Fallon County,922,"2,890",0,0,Rural,Rural,,
2013,Montana,Fergus County,818,"11,586",0,0,Rural,Rural,,
2013,Montana,Flathead County,1101,"90,928",0,0,Tourist,Tourist,,
2013,Montana,Gallatin County,1098,"89,513",0,0,Tourist,Tourist,,
2013,Montana,Garfield County,879,"1,206",0,0,Rural,Rural,,
2013,Montana,Glacier County,922,"13,399",0,0,Tourist,Tourist,,
2013,Montana,Golden Valley County,822,884,0,0,Rural,Rural,,
2013,Montana,Granite County,780,"3,079",0,0,Rural,Rural,,
2013,Montana,Hill County,922,"16,096",0,0,Rural,Urban,,
2013,Montana,Jefferson County,780,"11,406",0,0,Rural,Rural,,
2013,Montana,Judith Basin County,893,"2,072",0,0,Rural,Rural,,
2013,Montana,Lake County,854,"28,746",0,0,Rural,Urban,,
2013,Montana,Lewis and Clark County,976,"63,395",0,0,Urban,Urban,,
2013,Montana,Liberty County,879,"2,339",0,0,Rural,Rural,,
2013,Montana,Lincoln County,881,"19,687",0,0,Rural,Urban,,
2013,Montana,McCone County,922,"1,734",0,0,Rural,Rural,,
2013,Montana,Madison County,884,"7,691",0,0,Rural,Rural,,
2013,Montana,Meagher County,780,"1,891",0,0,Rural,Rural,,
2013,Montana,Mineral County,865,"4,223",0,0,Rural,Rural,,
2013,Montana,Missoula County,1058,"109,299",0,0,Tourist,Tourist,,
2013,Montana,Musselshell County,870,"4,538",0,0,Rural,Rural,,
2013,Montana,Park County,949,"15,636",0,0,Rural,Urban,,
2013,Montana,Petroleum County,927,494,0,0,Rural,Rural,,
2013,Montana,Phillips County,879,"4,253",0,0,Rural,Rural,,
2013,Montana,Pondera County,922,"6,153",0,0,Rural,Rural,,
2013,Montana,Powder River County,922,"1,743",0,0,Rural,Rural,,
2013,Montana,Powell County,780,"7,027",0,0,Rural,Rural,,
2013,Montana,Prairie County,879,"1,179",0,0,Rural,Rural,,
2013,Montana,Ravalli County,1052,"40,212",0,0,Rural,Urban,,
2013,Montana,Richland County,802,"9,746",0,0,Rural,Rural,,
2013,Montana,Roosevelt County,780,"10,425",0,0,Rural,Rural,,
2013,Montana,Rosebud County,780,"9,233",0,0,Rural,Rural,,
2013,Montana,Sanders County,796,"11,413",0,0,Rural,Rural,,
2013,Montana,Sheridan County,922,"3,384",0,0,Rural,Rural,,
2013,Montana,Silver Bow County,797,"34,200",0,0,Urban,Urban,,
2013,Montana,Stillwater County,883,"9,117",0,0,Rural,Rural,,
2013,Montana,Sweet Grass County,922,"3,651",0,0,Rural,Rural,,
