id,YES,condname,education
1,1,No TOSA or warning,HS_or_less
2,15,No TOSA or warning,Graduate
3,1,No TOSA or warning,HS_or_less
4,14,No TOSA or warning,Graduate
5,14,No TOSA or warning,HS_or_less
6,8,No TOSA or warning,HS_or_less
7,10,No TOSA or warning,HS_or_less
8,15,No TOSA or warning,HS_or_less
9,11,No TOSA or warning,Bachelors
10,12,No TOSA or warning,Bachelors
11,19,No TOSA or warning,HS_or_less
12,15,No TOSA or warning,HS_or_less
13,6,No TOSA or warning,HS_or_less
14,15,No TOSA or warning,Bachelors
15,6,No TOSA or warning,Bachelors
16,15,No TOSA or warning,HS_or_less
17,13,No TOSA or warning,HS_or_less
18,7,No TOSA or warning,Bachelors
19,19,No TOSA or warning,HS_or_less
20,14,No TOSA or warning,HS_or_less
21,2,No TOSA or warning,Associate
22,15,No TOSA or warning,Bachelors
23,8,No TOSA or warning,Bachelors
24,9,No TOSA or warning,Graduate
25,8,No TOSA or warning,HS_or_less
26,17,No TOSA or warning,Bachelors
27,17,No TOSA or warning,Bachelors
28,19,No TOSA or warning,Associate
29,16,No TOSA or warning,Bachelors
30,11,No TOSA or warning,HS_or_less
31,3,No TOSA or warning,HS_or_less
32,9,No TOSA or warning,Bachelors
33,5,No TOSA or warning,HS_or_less
34,4,No TOSA or warning,Bachelors
35,11,No TOSA or warning,HS_or_less
36,17,No TOSA or warning,HS_or_less
37,8,No TOSA or warning,Bachelors
38,12,No TOSA or warning,Bachelors
39,3,No TOSA or warning,Bachelors
40,18,No TOSA or warning,Associate
41,9,No TOSA or warning,HS_or_less
42,3,No TOSA or warning,HS_or_less
43,14,No TOSA or warning,HS_or_less
44,3,No TOSA or warning,Bachelors
45,15,No TOSA or warning,Bachelors
46,7,No TOSA or warning,Associate
47,14,No TOSA or warning,Associate
48,7,No TOSA or warning,HS_or_less
49,7,No TOSA or warning,HS_or_less
50,9,No TOSA or warning,Bachelors
51,7,No TOSA or warning,Associate
52,1,No TOSA or warning,Associate
53,2,No TOSA or warning,Graduate
54,8,No TOSA or warning,HS_or_less
55,14,No TOSA or warning,HS_or_less
56,9,No TOSA or warning,HS_or_less
57,0,No TOSA or warning,Bachelors
58,11,No TOSA or warning,Bachelors
59,7,No TOSA or warning,HS_or_less
60,17,No TOSA or warning,HS_or_less
61,14,No TOSA or warning,Bachelors
62,12,No TOSA or warning,Bachelors
63,15,No TOSA or warning,Bachelors
64,11,No TOSA or warning,Graduate
65,12,No TOSA or warning,Associate
66,8,No TOSA or warning,Bachelors
67,10,No TOSA or warning,Bachelors
68,4,No TOSA or warning,Associate
69,3,No TOSA or warning,Associate
70,8,No TOSA or warning,Associate
71,9,No TOSA or warning,Associate
72,12,No TOSA or warning,Associate
73,14,No TOSA or warning,HS_or_less
74,0,No TOSA or warning,HS_or_less
75,8,No TOSA or warning,HS_or_less
76,19,No TOSA or warning,Associate
77,7,No TOSA or warning,Associate
78,13,No TOSA or warning,HS_or_less
79,18,No TOSA or warning,Bachelors
80,12,No TOSA or warning,Graduate
81,8,No TOSA or warning,HS_or_less
82,11,No TOSA or warning,Bachelors
83,8,No TOSA or warning,Bachelors
84,6,No TOSA or warning,Bachelors
85,22,No TOSA or warning,HS_or_less
86,14,No TOSA or warning,HS_or_less
87,7,No TOSA or warning,Bachelors
88,8,No TOSA or warning,Bachelors
89,4,No TOSA or warning,Associate
90,17,No TOSA or warning,HS_or_less
91,0,No TOSA or warning,HS_or_less
